quota,algorithm,variance_type,variance
1,UKS,theoretical,0.00021000000000000023
1,UKS,empirical,0.0002036717795700002
1,LSS,theoretical,0.00020999999999999987
1,LSS,empirical,0.0002079480275749927
1,S-LSS,theoretical,1.2226157931422796e-19
1,S-LSS,empirical,3.0814879110195774e-33
2,UKS,theoretical,0.00017655328798185912
2,UKS,empirical,0.00017464809849345792
2,LSS,theoretical,0.000162267573696145
2,LSS,empirical,0.00016008488904607665
2,S-LSS,theoretical,1.2226157931422796e-19
2,S-LSS,empirical,3.3557403351003198e-28
3,UKS,theoretical,0.00015497505668934236
3,UKS,empirical,0.0001469710384585942
3,LSS,theoretical,0.00014328458049886602
3,LSS,empirical,0.0001450466435735794
3,S-LSS,theoretical,2.65796184163532e-05
3,S-LSS,empirical,2.618261238398471e-05
4,UKS,theoretical,0.00013636281179138323
4,UKS,empirical,0.00013723378476560098
4,LSS,theoretical,0.0001284342403628117
4,LSS,empirical,0.00012729041036820706
4,S-LSS,theoretical,4.696619386505129e-05
4,S-LSS,empirical,4.666316516278152e-05
5,UKS,theoretical,0.00011536281179138319
5,UKS,empirical,0.00011800903294893426
5,LSS,theoretical,0.00011245804988662131
5,LSS,empirical,0.0001106931052217758
5,S-LSS,theoretical,5.5872975010303224e-05
5,S-LSS,empirical,5.675601610918406e-05
6,UKS,theoretical,9.43628117913832e-05
6,UKS,empirical,9.54858029956009e-05
6,LSS,theoretical,9.72675736961451e-05
6,LSS,empirical,9.621441160368162e-05
6,S-LSS,theoretical,7.04416563563157e-05
6,S-LSS,empirical,7.269204497411155e-05
7,UKS,theoretical,7.336281179138325e-05
7,UKS,empirical,7.326718132893421e-05
7,LSS,theoretical,8.129138321995465e-05
7,LSS,empirical,8.144932737082622e-05
7,S-LSS,theoretical,9.696902601677988e-05
7,S-LSS,empirical,9.473382114228251e-05
8,UKS,theoretical,5.464172335600908e-05
8,UKS,empirical,5.52062290935941e-05
8,LSS,theoretical,6.633219954648527e-05
8,LSS,empirical,6.836749250906306e-05
8,S-LSS,theoretical,0.0002174965728327157
8,S-LSS,empirical,0.00021688828712762914
9,UKS,theoretical,3.321995464852608e-05
9,UKS,empirical,3.156291204845806e-05
9,LSS,theoretical,4.750566893424036e-05
9,LSS,empirical,4.77434771927418e-05
9,S-LSS,theoretical,0.00022897776001465456
9,S-LSS,empirical,0.00022399730884333334
10,UKS,theoretical,0.0
10,UKS,empirical,2.7733391199176196e-32
10,LSS,theoretical,0.0
10,LSS,empirical,0.0
10,S-LSS,theoretical,0.0
10,S-LSS,empirical,0.0
